date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:49:35	74757/74757	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:35%20GMT	https://dev.closer2oxford.ro/page/ro/vezi_meciuri/406/sunt_arbitru	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/ro/vezi_meciuri/406/sunt_arbitru.html	(from https://dev.closer2oxford.ro/)
22:49:35	68412/68412	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:35%20GMT	https://dev.closer2oxford.ro/page/ro/vezi_meciuri/408/sunt_arbitru	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/ro/vezi_meciuri/408/sunt_arbitru.html	(from https://dev.closer2oxford.ro/)
22:49:35	56686/56686	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:35%20GMT	https://dev.closer2oxford.ro/page/ro/vezi_meciuri/412/sunt_arbitru	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/ro/vezi_meciuri/412/sunt_arbitru.html	(from https://dev.closer2oxford.ro/)
22:49:36	50609/50609	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:36%20GMT	https://dev.closer2oxford.ro/page/ro/vezi_meciuri/416/sunt_arbitru	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/ro/vezi_meciuri/416/sunt_arbitru.html	(from https://dev.closer2oxford.ro/)
22:49:36	45327/45327	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:36%20GMT	https://dev.closer2oxford.ro/page/ro/vezi_meciuri/411/sunt_arbitru	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/ro/vezi_meciuri/411/sunt_arbitru.html	(from https://dev.closer2oxford.ro/)
22:49:36	53117/53117	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:36%20GMT	https://dev.closer2oxford.ro/page/ro/vezi_meciuri/415/sunt_arbitru	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/ro/vezi_meciuri/415/sunt_arbitru.html	(from https://dev.closer2oxford.ro/)
22:49:36	55515/55515	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:36%20GMT	https://dev.closer2oxford.ro/page/ro/vezi_meciuri/409/sunt_arbitru	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/ro/vezi_meciuri/409/sunt_arbitru.html	(from https://dev.closer2oxford.ro/)
22:49:37	47777/47777	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:36%20GMT	https://dev.closer2oxford.ro/page/ro/vezi_meciuri/413/sunt_arbitru	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/ro/vezi_meciuri/413/sunt_arbitru.html	(from https://dev.closer2oxford.ro/)
22:49:37	51397/51397	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:37%20GMT	https://dev.closer2oxford.ro/page/ro/vezi_meciuri/407/sunt_arbitru	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/ro/vezi_meciuri/407/sunt_arbitru.html	(from https://dev.closer2oxford.ro/)
22:49:37	65536/65536	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:37%20GMT	https://dev.closer2oxford.ro/page/ro/vezi_meciuri/414/sunt_arbitru	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/ro/vezi_meciuri/414/sunt_arbitru.html	(from https://dev.closer2oxford.ro/)
